"","states","year","party","murder","attempt_to_murder","culpable_homicide","rape","kidnapping_abduction","dacoity","preparation_of_dacoity","crimes_against_SC","population"
"66","MADHYA PRADESH",2011,"NDA",3.45879369370033,3.22324860344834,0.191466476871504,4.69161741168592,1.77416418856473,0.162539886840557,0.161162430172417,2.56895668608169,725.97565
"67","MADHYA PRADESH",2012,"NDA",3.26870467349697,3.21222895010322,0.157030060167996,4.71778908838058,1.79344858191869,0.147387863491014,0.17493699685382,2.55104974939586,725.97565
"68","MADHYA PRADESH",2013,"NDA",2.90918848311235,3.25079773681114,0.161162430172417,5.97127465638827,4.61998966494262,0.134990753477751,0.272736420291783,2.57446651275425,725.97565
"69","MADHYA PRADESH",2014,"NDA",3.13233646335108,3.35961681359423,0.194221390207785,6.99197004748024,10.7896180815431,0.144632950154733,0.247942200265257,0.643272264021527,725.97565
"70","MADHYA PRADESH",2015,"NDA",3.2218711467802,3.45328386702777,0.181824280194522,6.04841222980413,9.33640129665506,0.199731216880346,0.298908096986448,0.803057237525804,725.97565
"71","MAHARASHTRA",2009,"UPA",2.36088799004088,1.67300015879263,0.0872095827455734,1.31971235930291,1.14440330011028,0.694117087158645,0.255399492326322,0.677209106830422,1123.72972
"72","MAHARASHTRA",2010,"UPA",2.44186831687605,1.71393526906096,0.135263842625787,1.42294002867522,1.34195970184005,0.692337299755674,0.253619704923351,0.720813898203209,1123.72972
"73","MAHARASHTRA",2011,"UPA",2.50772045078598,1.87322624162686,0.128144693013904,1.51370918622674,1.4852325877792,0.687887831248247,0.258959067132264,0.672759638322995,1123.72972
"74","MAHARASHTRA",2012,"UPA",2.41339171842852,1.92928954482044,0.152171822954011,1.63651451703173,1.40870172945146,0.705685705277956,0.286545771878312,0.633604315457635,1123.72972
"75","MAHARASHTRA",2013,"UPA",2.23541297813143,2.16066190720665,0.180648421401545,2.72574440764991,2.34931937192157,0.741281453337374,0.234042043490671,0.619366016233868,1123.72972
"76","MAHARASHTRA",2014,"UPA",2.37601618296613,2.32529224198146,0.152171822954011,3.05945454570695,3.37536680973428,0.787555925814617,0.260738854535235,0.720813898203209,1123.72972
"77","MAHARASHTRA",2015,"NDA",2.23274329702698,2.38758480108544,0.134373948924302,3.68771949895567,7.34607250576233,0.697676661964587,0.244720767908497,2.70527685251575,1123.72972
"78","ODISHA",2009,"UPA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ODISHA",2010,"UPA",3.1181939992502,3.42333836614931,0.0739021513583764,2.44353887555922,2.42208341226163,0.824843366774136,0.278921022868711,0,419.47358
"80","ODISHA",2011,"UPA",3.52107992117167,3.86436733393316,0.121580958686361,2.65094168743595,2.71530807732873,0.994103132788482,0.200250990777536,0,419.47358
"81","ODISHA",2012,"UPA",3.69033968718602,4.47942394846417,0.128732779785559,3.47578505421009,3.67603604498762,0.958344027292494,0.236010096273525,0,419.47358
"82","ODISHA",2013,"UPA",3.46624929274449,5.18030241618554,0.0929736742895703,4.3673787512434,5.64993866836619,1.03939799975007,0.300376486166304,0,419.47358
"83","ODISHA",2014,"UPA",3.45671353127889,5.59034015920621,0.0762860917247756,4.71543404473769,7.32584874594486,1.15382713733723,0.276537082502312,0,419.47358
"84","ODISHA",2015,"UPA",3.51154415970608,5.83111813621254,0.0619824495263802,5.36624976476468,7.71443102566793,0.903513398865311,0.255081619204718,0,419.47358
"85","PUNJAB",2009,"NDA",3.07942238267148,3.66064981949458,0.465703971119134,1.84476534296029,2.49819494584838,0.137184115523466,0.346570397111913,0,277
"86","PUNJAB",2010,"NDA",3.27386757750692,3.58789897689292,0.433146757773793,1.97081774787076,2.84793993236269,0.234621160460805,0.51616655301377,0,277.04236
"87","PUNJAB",2011,"NDA",3.03924641704612,3.59872764583727,0.40427030725554,1.72897747478039,2.45810785036628,0.101067576813885,0.51616655301377,0,277.04236
"88","PUNJAB",2012,"NDA",3.08617064913828,3.77198634894678,0.375393856737287,2.4544982940515,3.3171822532843,0.173258703109517,0.664158361919816,0,277.04236
"89","PUNJAB",2013,"NDA",2.56639453980972,3.33162047854343,0.375393856737287,3.20528600752607,4.59857474503177,0.064972013666069,0.501728327754644,0,277.04236
