"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate"
"137",137,"Mizoram",0.01,0,2009,NA,0,"u",10.91014,0.0916578522365433,31,2.84139341933284
"138",138,"Mizoram",0.01,0,2010,NA,0,"u",10.91014,0.0916578522365433,48,4.39957690735408
"139",139,"Mizoram",0.01,0,2011,NA,0,"u",10.91014,0.0916578522365433,26,2.38310415815012
"140",140,"Mizoram",0.01,0,2012,NA,0,"u",10.91014,0.0916578522365433,30,2.7497355670963
"141",141,"Mizoram",0.01,0,2013,NA,0,"u",10.91014,0.0916578522365433,27,2.47476201038667
"142",142,"Mizoram",0.01,0,2014,NA,0,"u",10.91014,0.0916578522365433,42,3.84962979393482
"143",143,"Mizoram",0.01,0,2015,NA,0,"u",10.91014,0.0916578522365433,36,3.29968268051556
"144",144,"Mizoram",0.01,0,2016,NA,0,"u",10.91014,0.0916578522365433,29,2.65807771485975
"145",145,"Nagaland",0,0,2009,NA,NA,"u",19.80602,0,46,2.32252618143373
"146",146,"Nagaland",0,0,2010,NA,NA,"u",19.80602,0,45,2.27203648183734
"147",147,"Nagaland",0,0,2011,NA,NA,"u",19.80602,0,46,2.32252618143373
"148",148,"Nagaland",0,0,2012,NA,NA,"u",19.80602,0,75,3.7867274697289
"149",149,"Nagaland",0,0,2013,NA,NA,"u",19.80602,0,78,3.93819656851806
"150",150,"Nagaland",0,0,2014,NA,NA,"u",19.80602,0,58,2.92840257659035
"151",151,"Nagaland",0,0,2015,NA,NA,"u",19.80602,0,51,2.57497467941565
"152",152,"Nagaland",0,0,2016,NA,NA,"u",19.80602,0,36,1.81762918546987
"153",153,"Odisha",71.88,1709,2009,NA,23.77573734,"u",419.47358,17.1357633536777,1250,2.97992545799905
"154",154,"Odisha",71.88,1710,2010,0.0585137507,23.7896494157,"u",419.47358,17.1357633536777,1308,3.1181939992502
"155",155,"Odisha",71.88,1455,2011,-14.9122807018,20.2420701169,"u",419.47358,17.1357633536777,1477,3.52107992117167
"156",156,"Odisha",71.88,2265,2012,55.6701030928,31.510851419,"u",419.47358,17.1357633536777,1548,3.69033968718602
"157",157,"Odisha",71.88,2592,2013,14.4370860927,36.0601001669,"u",419.47358,17.1357633536777,1454,3.46624929274449
"158",158,"Odisha",71.88,1657,2014,-36.0725308642,23.0523094046,"u",419.47358,17.1357633536777,1450,3.45671353127889
"159",159,"Odisha",71.88,1823,2015,10.0181050091,25.3617139677,"u",419.47358,17.1357633536777,1473,3.51154415970608
"160",160,"Odisha",71.88,1796,2016,-1.4810751509,24.9860879243,"u",419.47358,17.1357633536777,1328,3.16587280657819
"161",161,"Punjab",88.6,108,2009,NA,1.2189616253,"n",277.04236,31.9806689489651,853,3.07895153650871
"162",162,"Punjab",88.6,115,2010,6.4814814815,1.2979683973,"n",277.04236,31.9806689489651,907,3.27386757750692
"163",163,"Punjab",88.6,90,2011,-21.7391304348,1.0158013544,"n",277.04236,31.9806689489651,842,3.03924641704612
"164",164,"Punjab",88.6,71,2012,-21.1111111111,0.8013544018,"n",277.04236,31.9806689489651,855,3.08617064913828
"165",165,"Punjab",88.6,126,2013,77.4647887324,1.4221218962,"n",277.04236,31.9806689489651,711,2.56639453980972
"166",166,"Punjab",88.6,123,2014,-2.380952381,1.388261851,"n",277.04236,31.9806689489651,767,2.76852969343749
"167",167,"Punjab",88.6,147,2015,19.512195122,1.6591422122,"n",277.04236,31.9806689489651,701,2.53029897666191
"168",168,"Punjab",88.6,132,2016,-10.2040816327,1.4898419865,"n",277.04236,31.9806689489651,771,2.78296791869662
"169",169,"Rajasthan",122.22,4985,2009,NA,40.7871052201,"u",686.21012,17.8108711075261,1395,2.03290502331851
"170",170,"Rajasthan",122.22,4979,2010,-0.1203610832,40.7380134184,"u",686.21012,17.8108711075261,1421,2.07079429257033
"171",171,"Rajasthan",122.22,5182,2011,4.0771239205,42.3989527082,"u",686.21012,17.8108711075261,1461,2.12908547603466
"172",172,"Rajasthan",122.22,5559,2012,7.2751833269,45.4835542464,"u",686.21012,17.8108711075261,1461,2.12908547603466
"173",173,"Rajasthan",122.22,6475,2013,16.4777837741,52.9782359679,"u",686.21012,17.8108711075261,1573,2.29230078973478
"174",174,"Rajasthan",122.22,6735,2014,4.0154440154,55.1055473736,"n",686.21012,17.8108711075261,1637,2.38556668327771
"175",175,"Rajasthan",122.22,5911,2015,-12.2345953972,48.363606611,"n",686.21012,17.8108711075261,1569,2.28647167138835
"176",176,"Rajasthan",122.22,5134,2016,-13.1449839283,42.0062182949,"n",686.21012,17.8108711075261,1551,2.2602406388294
"177",177,"Sikkim",0.28,16,2009,NA,57.1428571429,"u",6.07688,4.60762759837285,19,3.126604441753
"178",178,"Sikkim",0.28,3,2010,-81.25,10.7142857143,"u",6.07688,4.60762759837285,17,2.79748818472637
"179",179,"Sikkim",0.28,9,2011,200,32.1428571429,"u",6.07688,4.60762759837285,14,2.30381379918642
"180",180,"Sikkim",0.28,5,2012,-44.4444444444,17.8571428571,"u",6.07688,4.60762759837285,7,1.15190689959321
"181",181,"Sikkim",0.28,6,2013,20,21.4285714286,"u",6.07688,4.60762759837285,15,2.46837192769974
"182",182,"Sikkim",0.28,3,2014,-50,10.7142857143,"u",6.07688,4.60762759837285,12,1.97469754215979
"183",183,"Sikkim",0.28,3,2015,0,10.7142857143,"u",6.07688,4.60762759837285,17,2.79748818472637
"184",184,"Sikkim",0.28,1,2016,-66.6666666667,3.5714285714,"u",6.07688,4.60762759837285,17,2.79748818472637
"185",185,"Tamil Nadu",144.38,1312,2009,NA,9.0871311816,"u",721.38958,20.0141510222535,1776,2.46191523864262
"186",186,"Tamil Nadu",144.38,1631,2010,24.3140243902,11.2965784735,"u",721.38958,20.0141510222535,1875,2.59915037863452
"187",187,"Tamil Nadu",144.38,1391,2011,-14.7148988351,9.6342983793,"u",721.38958,20.0141510222535,1877,2.60192280570507
"188",188,"Tamil Nadu",144.38,1647,2012,18.4040258807,11.4073971464,"u",721.38958,20.0141510222535,1949,2.70173018024463
"189",189,"Tamil Nadu",144.38,1845,2013,12.0218579235,12.7787782241,"u",721.38958,20.0141510222535,1936,2.6837094042861
"190",190,"Tamil Nadu",144.38,1494,2014,-19.0243902439,10.3476935864,"u",721.38958,20.0141510222535,1805,2.5021154311655
"191",191,"Tamil Nadu",144.38,1736,2015,16.1981258367,12.0238260147,"u",721.38958,20.0141510222535,1748,2.42310125965501
"192",192,"Tamil Nadu",144.38,1291,2016,-25.633640553,8.9416816734,"u",721.38958,20.0141510222535,1603,2.22210029704061
"193",193,"Tripura",6.55,7,2009,NA,1.0687022901,"u",36.71032,17.8423941823444,133,3.62295942939206
"194",194,"Tripura",6.55,11,2010,57.1428571429,1.679389313,"u",36.71032,17.8423941823444,150,4.08604446923917
"195",195,"Tripura",6.55,22,2011,100,3.358778626,"u",36.71032,17.8423941823444,163,4.4401683232399
"196",196,"Tripura",6.55,76,2012,245.4545454545,11.6030534351,"u",36.71032,17.8423941823444,124,3.37779676123771
"197",197,"Tripura",6.55,48,2013,-36.8421052632,7.3282442748,"u",36.71032,17.8423941823444,142,3.86812209754641
"198",198,"Tripura",6.55,1,2014,-97.9166666667,0.1526717557,"u",36.71032,17.8423941823444,140,3.81364150462322
